,use_idf,sublinear_tf,stop_words,norm,ngram_range,max_features,lowercase,binary,class_weight,C,Mean test score,Standard deviation
1,False,True,,l2,"(1, 3)",50000,False,True,,4,0.635,0.002
0,False,True,english,l2,"(1, 3)",20000,True,False,,0.5,0.633,0.007
10,False,True,,l2,"(1, 1)",50000,True,True,,6,0.628,0.008
5,False,False,english,l2,"(1, 3)",50000,False,True,,4,0.625,0.005
7,False,True,english,l2,"(1, 2)",,False,True,,6,0.624,0.004
16,True,False,,l1,"(1, 3)",50000,False,False,,6,0.623,0.004
17,True,True,english,l1,"(1, 3)",10000,False,True,,3,0.623,0.008
4,False,True,english,l1,"(1, 2)",20000,True,True,,7,0.615,0.004
11,True,False,english,l2,"(1, 1)",10000,False,True,,6,0.609,0.008
3,True,True,english,l1,"(1, 1)",,False,False,,0.5,0.603,0.004
15,True,True,english,l2,"(1, 3)",,True,True,balanced,8,0.593,0.006
18,True,True,,l1,"(1, 3)",,False,False,,2,0.591,0.002
9,True,True,english,l1,"(1, 3)",50000,False,False,,0.5,0.589,0.002
8,False,True,,l2,"(1, 2)",,False,True,balanced,3,0.588,0.01
2,False,False,,l2,"(1, 3)",20000,True,False,balanced,8,0.581,0.013
13,False,True,english,l2,"(1, 2)",10000,True,True,balanced,6,0.555,0.006
6,True,True,,l2,"(1, 1)",50000,True,True,balanced,6,0.553,0.012
12,True,True,english,l2,"(1, 1)",,True,True,balanced,6,0.543,0.012
19,False,False,,l2,"(1, 3)",,False,True,balanced,0.5,0.534,0.011
14,True,True,english,l1,"(1, 2)",10000,False,True,balanced,4,0.528,0.003
